"","Kolumna1","id_ucznia","wersja_ankiety","obserwacja","zdolny_u","c_nauki","nr_klasy","nr_ucznia","plec","studia_m","studia_t","praca_m","zawod_matki","praca_o","zawod_ojciec","ocena_matematyka","ocena_jezyk_polski","ocena_przyroda","zawod_u","klasyfikacja_z","p_12_4","p_13_a_2_4","p_13_b_2_4","p_13_c_2_4","p_13_d_2_4","p_13_e_4","p_13_f_4","p_13_g_4","p_13_h_2_4","p_13_i_1_2_4","p_13_j_2_4","p_13_k_1_2_4","p_14_a_4","p_14_b_1_2_4","p_15_a_2_4","p_15_b_2_4","p_16_2_4","p_17_a_4","p_17_b_4","p_17_c_4","p_17_d_4","p_17_e_4","p_17_f_4","p_18_a_4","p_18_b_4","p_18_c_4","p_18_d_4","p_18_e_4","p_18_f_4","p_19_a_1_2_4","p_19_b_4","p_19_c_4","p_19_d_4","p_19_e_4","p_19_f_4","p_19_g_4","p_19_h_4","p_19_i_2_4","p_19_j_2_4","p_19_k_4","p_20_a","p_20_b","p_20_c","p_20_d","p_20_e","p_20_f","k_studia_m","k_studia_t","k_ocena_m","k_ocena_jp","k_ocena_prz","k_p_12_4","k_p_14_a_4","k_p_15_a_2_4","k_p_16_2_4","k_p_17_a_4","k_p_17_b_4","k_p_17_c_4","k_p_17_d_4","k_p_17_e_4","k_p_17_f_4","k_p_18_a_4","k_p_18_b_4","k_p_18_c_4","k_p_18_d_4","k_p_18_e_4","k_p_18_f_4","k_p_19_b_4","k_p_19_c_4","k_p_19_d_4","k_p_19_g_4","k_p_19_h_4","k_p_19_k_4","k_sum_4"
"56","140","1112","czwarta wersja","nie","nie","Centrum Nauki Kopernik","11","12","chlopak","tak",NA,NA,NA,NA,NA,"3","4","5","Inne","calkowicie niezwiazany z science",NA,"nie","tak","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","tak","4","0","2","3","4","1","0",NA,NA,NA,NA,NA,NA,"0","0","3","1","1","0","0","0","4","4","3","3","4","3",NA
"57","141","1113","czwarta wersja","nie","nie","Centrum Nauki Kopernik","11","13","chlopak","nie","nie","tak","Inne","tak","Inne","3","4","3","Inne",NA,NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","3","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","3","3","3","21"
"58","142","1114","czwarta wersja","tak","nie","Centrum Nauki Kopernik","11","14","dziewczyna","tak","tak","tak","Inne","tak",NA,"4","5","4","Techniczny",NA,NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","tak","tak","nie","4","4","3","4","3","0","0","0","2","0","3","0","1","1","0","1","0","1","0","0","0","2","1","0","2","3","3","38"
"59","143","1201","czwarta wersja","nie","nie","Centrum Nauki Kopernik","12","1","dziewczyna","nie","nie","nie",NA,"tak","Inne","2","4","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","tak","nie","nie",NA,"nie","tak","opiekunka siostry","nie","nie","tak","wujek","nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","1","3","3","3","4","0","4","3","0","0","1","1","0","3","3","3","0","1","0","4","2","2","3","2","3","49"
"60","145","1203","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","3","dziewczyna","tak","tak","tak","Inne","tak","Inne","4","5","4","Inne","calkowicie niezwiazany z science",NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie nie zgadzam","zdecydowanie sie nie zgadzam","zdecydowanie sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","nie","4","4","3","4","3","2","0","0","4","0","0","0","1","1","1","0","0","0","0","0","0","2","0","0","2","3","3","37"
"61","146","1204","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","4","chlopak","tak","tak","tak","Techniczny","tak",NA,"3","4","4","Techniczny","posrednio zwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","zdecydowanie sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","nie","4","4","2","3","3","0","0","0","3","0","0","0","1","1","0","3","1","1","0","1","0","4","1","0","2","3","3","40"
"62","147","1206","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","6","chlopak","nie","nie","nie",NA,"tak","Inne","3","3","3","Techniczny","bezposrdnio zwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"tak","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","2","2","2","4","0","0","3","3","0","0","0","0","0","4","3","0","0","0","0","3","3","2","3","2","3","39"
"63","148","1208","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","8","chlopak",NA,NA,"tak","Inne","tak","Inne","4","4","4","Techniczny","posrednio zwiazany z science",NA,"tak","tak","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","tak","tak","tak","nie","nie","nie","0","0","3","3","3","1","0","0","3","0","2","0","0","0","0","1","1","2","1","0","0","4","2","2","3","3","4","38"
"64","149","1209","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","9","dziewczyna",NA,NA,"tak","Inne","tak","Inne","3","5","4",NA,NA,NA,"nie","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"tak","czyta blogi o tematyce na","cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","2","4","3","4","0","4","4","1","1","0","1","1","1","4","2","4","3","3","2","4","3","3","4","4","3","65"
"65","150","1210","czwarta wersja","tak","nie","Centrum Nauki Kopernik","12","10","chlopak","tak","tak","nie",NA,"tak","Techniczny","5","5","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","nie","tak","nie","nie","4","4","4","4","3","0","0","0","4","0","0","0","1","1","1","3","2","2","1","3","0","4","4","3","4","4","3","59"
"66","152","1214","czwarta wersja","nie","nie","Centrum Nauki Kopernik","12","14","dziewczyna","nie","nie","tak","Inne","tak","Inne","3","5","5",NA,"posrednio zwiazany z science",NA,"nie","nie","nie","tak","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","4","4","1","0","0","1","3","0","0","1","1","0","2","2","0","0","0","0","3","3","2","2","3","3","37"
"67","153","1215","czwarta wersja","nie","nie","Centrum Nauki Kopernik","12","15","chlopak",NA,"tak","tak","Inne",NA,NA,"4","4","4","Techniczny","bezposrdnio zwiazany z science",NA,"tak","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie",NA,"4","3","3","3","3","0","0","2","3","3","0","2","2","1","3","0","2","0","1","0","4","3","3","3","4","3",NA
"68","154","1216","czwarta wersja","nie","nie","Centrum Nauki Kopernik","12","16","chlopak","tak","tak","tak","Inne","tak","Inne","4","5","4","Inne",NA,NA,"tak","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","4","4","3","4","3","0","0","0","4","0","3","0","1","0","0","2","1","2","4","1","0","4","3","4","3","4","3","57"
"69","155","1301","czwarta wersja","tak","nie","Centrum Nauki Kopernik","13","1","dziewczyna","nie","tak","tak","Inne","tak","Inne","6","5","6","Przyrodniczy","bezposrdnio zwiazany z science",NA,"tak","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","4","5","4","5","4","0","0","4","3","2","0","1","0","1","4","3","4","2","2","0","4","4","4","4","4","3","71"
"70","156","1302","czwarta wersja","nie","nie","Centrum Nauki Kopernik","13","2","chlopak","nie","nie","nie",NA,"tak","Inne","3","2","3",NA,NA,NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","tak","nie","nie","nie","nie","nie","0","0","2","1","2","1","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","3","1","4","4","4","4","30"
"71","157","1303","czwarta wersja","tak","nie","Centrum Nauki Kopernik","13","3","chlopak",NA,"tak","tak","Inne","tak","Inne","3","3","3","Techniczny","bezposrdnio zwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","tak","nie","nie","nie","nie","nie","0","4","2","2","2","3","0","0","2","0","0","0","1","0","0","1","2","1","0","0","0","3","2","2","3","3","4","37"
"72","158","1304","czwarta wersja","nie","nie","Centrum Nauki Kopernik","13","4","dziewczyna","tak","nie","tak","Przyrodniczy","tak","Techniczny","4","4","4","Inne","calkowicie niezwiazany z science",NA,"nie","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","tak","tak","tak","nie","nie","nie","4","0","3","3","3","4","0","0","4","1","3","3","2","1","1","4","4","3","2","2","0","4","4","3","4","4","4","70"
"73","159","1305","czwarta wersja","nie","nie","Centrum Nauki Kopernik","13","5","chlopak","tak","tak","tak","Humanistyczny","tak","Inne","5","4","5","Techniczny","posrednio zwiazany z science",NA,"nie","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","4","4","4","3","4","2","0","0","3","2","0","0","1","1","1","2","1","1","0","1","0","4","3","1","2","4","3","51"
